,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev
141,YBL044W,-0.6654793840270155,-0.875637590885162,0.0168487885439276,0.352176342290705
142,YBL045C,2.115165306606189,0.400736838579178,0.1124779340233933,0.0458982777085465
143,YBL046W,1.024091240893578,-0.915944516658783,0.0670110588524289,0.33132064174053
144,YBL047C,1.7565473693440834,0.124136485159397,0.1172076466029488,0.0446827734518336
145,YBL049W,1.2356190786452246,-0.495412737131119,0.0750683126934938,0.348221448022941
146,YBL050W,2.040164783965233,-0.242181971669197,0.0663339284884796,0.23471685750384
147,YBL051C,1.454301556170461,0.107091702520847,0.0538579065746498,0.0661206168101596
148,YBL052C,0.9354312270799872,-0.872704863548279,0.1314883828176475,0.305459353114618
149,YBL054W,1.441121257773376,-0.273150712251663,0.2117812232295384,0.174984514453886
150,YBL055C,1.744464160926217,-0.57090562582016,0.0938986932722132,0.297511973420589
151,YBL056W,2.110695547451405,-0.0670415908098221,0.057299258703294,0.120048235664715
152,YBL057C,2.0189353314683878,-0.493783533573151,0.0091147191116935,0.329607769513973
153,YBL058W,1.8210063562063323,-0.233790650963783,0.1043133945496344,0.178878122309126
154,YBL059C-A,1.726445969821535,-0.0520651787519455,0.023655236896458,0.272958567669059
155,YBL059W,1.28109170258232,-0.922312378883362,0.0493008592540677,0.347242591445883
156,YBL060W,1.0735005321868951,-0.465559601783752,0.1851665215498257,0.233045870350057
157,YBL061C,1.462189634203913,-0.711788475513458,0.1933927243953767,0.289094291691452
158,YBL063W,0.369641728572505,-0.505999684333801,0.1070317612457478,0.1967228986895
159,YBL064C,1.9542494414915863,0.0758645460009575,0.1583935867216573,0.115884936703177
160,YBL066C,0.8502973696066247,-0.222268134355545,0.142882942802413,0.101906263426599
161,YBL067C,1.5432581415427291,-0.424609035253525,0.1282756182183481,0.207354266612184
162,YBL068W,1.86464613562712,-0.0193815100938082,0.0634447361992396,0.122764319749749
163,YBL069W,1.1507992148889734,-0.066715881228447,0.0552486199953313,0.123259311792153
164,YBL071C-B,,-0.632766246795654,,0.41794038836789
165,YBL071W-A,2.2161495336769605,-0.51317310333252,0.1166890635823618,0.39718293911456
166,YBL072C,0.6772552250348975,0.928338646888733,0.0198266059024664,0.050763567266679
167,YBL074C,0.7315538667630092,-0.731376886367798,0.0849911776852961,0.337369218848137
168,YBL075C,1.0724100662628384,0.0004353577387519,0.2671958769004027,0.0788285347197275
169,YBL076C,2.296265030871546,0.457284420728683,0.0178987448327887,0.0294489727078295
170,YBL078C,1.8860203174641277,-0.389775365591049,0.1194636088425914,0.342637331205916
171,YBL079W,1.1481659986395865,-0.190476790070534,0.0736162561609291,0.0807161038607809
172,YBL080C,0.8290022084929931,-0.631916522979736,0.1794312709939578,0.290548000082211
173,YBL081W,1.5842403918934007,-0.0118346139788628,0.1452141988938337,0.13077100930175
174,YBL082C,1.4251491951459467,-0.5077223777771,0.0270675041232816,0.279531953489848
175,YBL084C,1.113418502918637,-0.803920209407806,0.1994689535236402,0.308338844673199
176,YBL085W,1.0121074650000212,-0.486230552196503,0.1591646158422681,0.203950616241154
177,YBL086C,0.9475061059228892,-0.789862632751465,0.1611739584454963,0.328194293017054
178,YBL087C,3.1947206806470856,0.797886848449707,0.0070016739300985,0.0600881135701756
179,YBL088C,0.6768377967160593,-0.917985141277313,0.0686910113259687,0.252514162775875
180,YBL089W,1.494757435643061,-0.867216229438782,0.1184548175683386,0.32892888233668
181,YBL090W,1.5863793709300469,-0.404656052589417,0.0900651522092898,0.307093789620522
182,YBL091C,1.9968981256445968,0.127532571554184,0.0120727050622965,0.0809573312714727
183,YBL091C-A,1.5380407618054992,-0.699903786182404,0.0252486695472585,0.364419875514147
184,YBL092W,3.65975924322491,1.03852093219757,0.010736848695476,0.0624177305596716
185,YBL093C,1.640254560743997,-0.766539752483368,0.0823498714841242,0.354973416474824
186,YBL095W,1.5437691326511611,-0.552610874176025,0.1366627120394298,0.328369480969561
187,YBL097W,0.1890327640558636,-0.723252356052399,0.0848863003111177,0.29556768331502
188,YBL098W,1.2527307461998172,-0.177835747599602,0.0400548052485205,0.150230167298253
189,YBL099W,2.4115707548863963,0.655138731002808,0.080638322922365,0.0318224835343575
190,YBL100W-A,,-0.032047588378191,,0.119190033845217
191,YBL100W-B,-0.4140814545292737,-0.383165180683136,0.2091927888707243,0.118144108529832
192,YBL100W-C,,-0.45171332359314,,0.42146742524155
193,YBL101C,1.1355055024289509,-0.527829051017761,0.1367889799560555,0.196227628668918
194,YBL102W,1.946983001559433,-0.603319048881531,0.1012905841152281,0.341082245479368
195,YBL103C,1.2997686608809416,-0.253093034029007,0.1124733497311808,0.183730003848643
196,YBL104C,0.8120763458393513,-0.455520868301392,0.0901598794214331,0.17586365993233
197,YBL105C,1.1348196737551532,-0.11510968953371,0.057834144224979,0.0797762851849386
198,YBL106C,0.8372591729905112,-0.58533638715744,0.1225808566281264,0.223827527163574
199,YBL107C,1.5567773533744085,-0.965075373649597,0.0116673872067747,0.35343645589794
200,YBL108C-A,,0.757624387741089,,0.122686399259356
201,YBL111C,0.6063570271692831,-1.16656792163849,0.2775292853535051,0.321700345958527
202,YBL112C,0.6287774748027589,-0.729871988296509,0.5281753293859036,0.37582509346167
203,YBL113C,1.076074059050389,-0.0556678622961044,0.1471689047158706,0.0867839519784447
204,YBR001C,1.2983507483451169,-0.665558815002441,0.3455055447141795,0.274062464267115
205,YBR002C,1.4714140000023272,-0.793605864048004,0.0697736611119926,0.340501969980851
206,YBR003W,1.6250301393714512,-0.297737270593643,0.102900501293906,0.187010015574536
207,YBR004C,1.8420681696242795,-0.158157303929329,0.2584975094540758,0.15533889734228
